customer_id,cluster
2439,1
2441,0
2442,7
2443,6
2445,6
2446,6
2447,1
2448,1
2451,3
2452,3
2453,1
2456,4
2457,2
2458,2
2459,2
2462,3
2463,3
2464,2
2465,1
2466,5
2467,2
2468,7
2469,1
2470,2
2471,0
2472,5
2473,3
2474,1
2475,5
2476,2
2478,5
2479,2
2480,7
2481,3
2482,1
2483,4
2484,5
2485,6
2486,4
2487,5
2488,1
2490,1
2491,6
2492,1
2494,5
2495,0
2496,2
2498,7
2499,5
2500,0
2501,1
2502,4
2503,0
2504,6
2505,7
2506,1
2507,6
2508,7
2509,0
2511,0
2512,0
2513,5
2514,3
2515,0
2517,1
2518,1
2520,5
2521,3
2522,6
2524,0
2525,2
2526,4
2528,5
2529,0
2530,6
2531,3
2533,7
2534,0
2536,6
2538,0
2541,1
2542,4
2543,4
2544,6
2545,2
2546,6
2547,4
2548,6
2549,4
2550,6
2552,3
2553,2
2554,2
2555,3
2556,2
2557,0
2558,4
2559,4
2560,4
2561,0
2562,3
2564,1
2565,0
2566,6
2567,7
2569,3
2570,6
2572,1
2573,1
2575,7
2576,7
2577,3
2580,2
2581,6
2582,2
2583,7
2584,3
2586,4
2587,1
2588,3
2589,0
2590,5
2591,3
2592,7
2593,3
2594,2
2596,4
2597,1
2598,7
2599,1
2600,4
2601,1
2602,0
2603,4
2604,5
2605,4
2606,0
2607,5
2608,3
2610,3
2611,6
2612,3
2613,7
2614,3
2615,7
2616,6
2617,3
2618,5
2619,3
2621,4
2622,4
2624,0
2625,4
2626,6
2627,2
2628,7
2629,1
2630,1
2631,3
2632,7
2633,0
2634,7
2635,0
2636,4
2637,4
2638,0
2639,6
2640,3
2641,2
2642,0
2643,1
2644,3
2645,3
2646,5
2647,3
2648,3
2649,0
2650,0
2651,5
2652,6
2653,1
2654,4
2655,6
2656,5
2657,0
2658,3
2659,1
2660,7
2661,2
2662,7
2663,1
2664,1
2665,5
2667,3
2668,0
2669,0
2670,7
2671,5
2672,3
2674,6
2675,6
2676,5
2677,3
2678,3
2680,7
2681,6
2682,4
2683,3
2684,2
2685,3
2686,7
2690,5
2692,3
2693,0
2694,3
2695,1
2696,0
2697,3
2698,5
2699,0
2700,7
2701,1
2702,3
2703,1
2704,3
2705,6
2706,5
2707,3
2708,4
2709,2
2710,4
2711,3
2712,3
2713,7
2715,6
2716,1
2717,1
2718,6
2719,1
2720,2
2721,2
2722,7
2723,0
2724,6
2725,2
2727,3
2728,6
2729,3
2730,1
2732,7
2733,6
2734,0
2735,6
2736,5
2737,6
2738,5
2739,7
2740,6
2741,2
2742,2
2743,1
2745,6
2746,2
2747,1
2750,4
2751,1
2752,0
2754,6
2756,2
2757,2
2759,4
2760,4
2761,2
2762,4
2764,1
2766,1
2768,6
2769,6
2770,1
2771,1
2772,6
2774,0
2775,5
2777,3
2778,0
2779,4
2780,4
2782,1
2784,5
2786,5
2787,2
2788,0
2789,7
2790,1
2792,4
2793,2
2794,5
2796,7
2797,0
2798,6
2799,3
2800,4
2801,2
2802,6
2803,2
2804,1
2806,4
2807,1
2808,5
2809,0
2810,2
2811,6
2812,1
2813,3
2814,6
2815,6
2818,0
2819,4
2820,3
2821,5
2822,1
2823,5
2824,3
2826,5
2827,1
2828,4
2829,4
2830,1
2832,2
2833,7
2834,2
2835,2
2836,0
2837,1
2838,0
2840,2
2841,6
2842,2
2843,3
2844,5
2846,3
2847,1
2848,7
2849,1
2850,1
2851,3
2852,3
2853,2
2854,5
2855,7
2856,7
2858,0
2860,0
2861,2
2863,4
2864,0
2865,1
2866,4
2867,7
2869,6
2870,2
2874,2
2875,1
2877,0
2878,0
2879,0
2880,7
2881,6
2882,2
2883,7
2884,3
2885,3
2886,3
2887,5
2888,3
2890,5
2892,6
2893,3
2894,4
2896,2
2897,0
2899,4
2900,1
2901,6
2902,2
2903,3
2904,2
2905,4
2906,4
2907,3
2908,7
2909,6
2910,4
2911,7
2912,6
2913,1
2914,6
2916,1
2917,4
2918,0
2919,7
2920,7
2921,1
2922,6
2923,0
2925,0
2926,2
2927,7
2929,1
2930,3
2932,7
2933,6
2934,2
2935,2
2936,0
2938,6
2939,6
2940,0
2942,6
2943,1
2944,5
2945,4
2946,0
2947,3
2948,6
2949,4
2951,3
2952,7
2953,4
2954,2
2955,6
2956,4
2957,7
2958,2
2959,2
2960,5
2961,1
2962,1
2963,7
2965,6
2966,4
2967,6
2969,4
2972,4
2974,4
2975,4
2976,4
2977,3
2978,4
2980,4
2981,3
2982,6
2984,2
2985,3
2986,3
2987,6
2988,7
2989,5
2991,6
2992,6
2993,5
2994,1
2995,3
2996,0
2997,2
2998,6
2999,3
3000,6
3001,5
3002,3
3003,6
3004,6
3005,2
3007,1
3008,2
3009,6
3010,0
3011,5
3012,6
3013,0
3015,1
3017,6
3019,1
3020,6
3021,2
3024,1
3025,2
3026,4
3028,3
3029,3
3030,5
3031,7
3032,2
3033,0
3034,0
3035,3
3036,3
3037,5
3038,4
3039,6
3040,0
3041,1
